Probit,%
6.220,88.8
6.225,88.9
6.230,89
6.235,89.1
6.240,89.2
6.245,89.3
6.250,89.4
6.255,89.5
6.260,89.6
6.265,89.7
6.270,89.8
6.275,89.9
6.280,90
6.286,90.1
6.292,90.2
6.298,90.3
6.304,90.4
6.310,90.5
6.316,90.6
6.322,90.7
6.328,90.8
6.334,90.9
6.340,91
6.347,91.1
6.354,91.2
6.361,91.3
6.368,91.4
6.375,91.5
6.382,91.6
6.389,91.7
6.396,91.8
6.403,91.9
6.410,92
6.417,92.1
6.424,92.2
6.431,92.3
6.438,92.4
6.445,92.5
6.452,92.6
6.459,92.7
6.466,92.8
6.473,92.9
6.480,93
6.487,93.1
6.494,93.2
6.501,93.3
6.508,93.4
6.515,93.5
6.522,93.6
6.529,93.7
6.536,93.8
6.543,93.9
6.550,94
6.559,94.1
6.568,94.2
6.577,94.3
6.586,94.4
6.595,94.5
6.604,94.6
6.613,94.7
6.622,94.8
6.631,94.9
6.640,95
6.651,95.1
6.662,95.2
6.673,95.3
6.684,95.4
6.695,95.5
6.706,95.6
6.717,95.7
6.728,95.8
6.739,95.9
6.750,96
6.763,96.1
6.776,96.2
6.789,96.3
6.802,96.4
6.815,96.5
6.828,96.6
6.841,96.7
6.854,96.8
6.867,96.9
6.880,97
6.897,97.1
6.914,97.2
6.931,97.3
6.948,97.4
6.965,97.5
6.982,97.6
6.999,97.7
7.016,97.8
7.033,97.9
7.050,98
7.078,98.1
7.106,98.2
7.134,98.3
7.162,98.4
7.190,98.5
7.218,98.6
7.246,98.7
7.274,98.8
7.302,98.9
7.330,99
7.370,99.1
7.410,99.2
7.460,99.3
7.510,99.4
7.580,99.5
7.650,99.6
7.750,99.7
7.880,99.8
8.090,99.9
8.100,100
